index,question,gt,ans_det,score_ctrl,score_det
1,Which teeth are suspected to have caries?,"Teeth #15, and #38 are suspected to have caries.",Suspected caries: radiolucent lesions consistent with proximal caries are visible on #16 (upper-right first molar) mesial aspect and #26 (upper-left first molar) distal/occlusal area. Possible occlusal/secondary caries on the restored teeth #36 and #46 cannot be excluded radiographically but are less obvious.,0.3,0.0
2,Which teeth have a fixed dental prosthesis ?,"Teeth #16, #26, #31, #42, #46, and #41.",Fixed dental prostheses (crowns/bridges): metal-ceramic crowns present on #36 and #46 (lower first molars) forming a small fixed bridge/abutments in the anterior-lower region (a three-unit prosthesis replacing a lower incisor region). Additionally single full-coverage restorations/crowns on #16 and #26.,0.7,0.6
3,Which tooth shows signs of a periapical abscess?,Tooth #46 shows signs of a periapical abscess.,Periapical abscess: tooth #36 (lower-left first molar) shows a well-defined periapical radiolucency at the distal root apex consistent with a chronic periapical abscess/granuloma.,0.0,0.0
30,"Which teeth show signs of deep caries, and what additional finding is noted in tooth #46?","Teeth #18, #28, #38, #45, #48, and #46 show signs of deep caries. Tooth #46 also has a periapical granuloma.",Teeth with radiographic deep caries: Visible deep radiolucent lesions consistent with caries are present at tooth #46 (lower-right first molar) on the occlusal/mesial surfaces and at least one posterior maxillary molar on the right (probable #16) shows carious radiolucency. Additional finding at #46: there is a large radiopaque crown restoration or post and a periapical radiolucency at the apex consistent with periapical pathology; also root morphology shows possible endodontic treatment attempt or a large restoration extending into the pulp chamber.,0.7,0.7
31,"Which teeth have signs of fillings, and which have undergone root canal treatment?","Teeth #16, #17, #35, and #37 have signs of fillings. Teeth #35, #38, #45 and #46 have undergone root canal treatment.","Fillings and root-canal treatment: Restorations — a large radiopaque restoration (amalgam or crown) is present on #46. Additional small occlusal restorations are visible on several molars (for example #36/#37 and #16/#26 have radiopaque restorations). Root-canal treatment — no definitive, well-condensed root canal fillings (gutta-percha) are seen in multiple canals; I do not see clear, complete endodontic fillings. There may be an intraradicular post or dense restoration in #46 but not a classic filled canal set.",0.6,0.3
44,Which tooth shows imaging features of a periapical abscess?,#41.,"Tooth #36 (lower-left first molar) shows a small periapical radiolucency at the mesial root apex region consistent with a periapical abscess/small apical radiolucency. (Also consider smaller periapical radiolucencies around other lower molar apices, but the most conspicuous is at #36.)",0.0,0.0
48,Which teeth show signs of fillings?,Tooth #26 show signs of fillings.,A large restorative crown (radiopaque) is present on #46 (lower-right first molar). Smaller radiopaque restorations/fillings are visible on the occlusal surfaces of several posterior teeth on both sides (notably the lower right premolar/molar region adjacent to #46); no extensive full-coverage crowns elsewhere are seen.,0.0,0.0
59,Which teeth show signs of fillings?,"#16, #26, #36, and #46 show signs of fillings.","Teeth with radiopaque restorative material (fillings/crowns) visible: 36 (large distal occlusal filling), 46 (occlusal filling), 24/25 area — actually the bright restoration on the upper right premolar region corresponds to 15/16 region? — but clearly visible restorations on 16/26? (to be precise from image: restorations on lower-left first molar 36, lower-right first molar 46, and upper-right first/second premolar region ~14–15).",0.7,0.7
90,Which teeth have fillings and require clinical review?,#17 has a filling.,"Radiopaque restorations consistent with metallic (amalgam) or large composite fillings are present in the following teeth and should be clinically reviewed: 16 (upper right first molar), 26 (upper left first molar), and the lower left first molar region shows a large restoration on 36 as well. Also several posterior premolars/molars have smaller restorations bilaterally (notably 14/15 and 24/25 region) and these merit routine clinical review.",0.0,0.0
92,Which teeth have crown restorations?,#11 and #21 have crown restorations.,Two adjacent radiopaque full-coverage crown restorations are present on the maxillary central incisors (11 and 21) — appear as well-defined uniform radiopaque caps. No other definitive full-coverage crowns are identified.,0.9,0.9
97,Which tooth is identified as a wisdom tooth?,#28 is identified as the wisdom tooth.,"Which tooth is identified as a wisdom tooth:
- The radiograph shows visible third molars: #28 (upper-left third molar), #38 (lower-left third molar) and #48 (lower-right third molar). The upper-right third molar (#18/#17 depending on numbering) is absent; using the FDI list provided, the wisdom tooth explicitly labeled in the tool is #38 (lower-left third molar) but all present wisdom teeth on the film are #28, #38 and #48.",0.3,0.7
101,Which teeth are suspicious for caries?,"#36 and #47 are suspicious for deep caries, while #45 and #46 are suspicious for caries (low confidence for #45).","Suspicious for caries: probable proximal/occlusal radiolucencies are best seen at #16 (occlusal/proximal), #26 (possible proximal), #36 (occlusal/proximal), and #46 (occlusal/proximal). Additionally small radiolucent areas on posterior premolars (e.g., #14/#15, #24/#25) could represent early caries but are equivocal on a panoramic.",0.3,0.4
112,Which tooth is suspicious for root canal treatment?,#35 is suspicious for root canal treatment.,Tooth 36/46? The radiograph most suspicious for prior or pending root-canal treatment is lower-left first molar region (tooth 36) or nearby lower-right first molar (46) — however on this image there is no definite filled canal. The tooth with periapical radiolucency near its apex suspicious for endodontic involvement is tooth 46 (lower-right first molar area) adjacent to the round radiolucency in the right body of the mandible. If forced to choose one: tooth 46 is most suspicious for endodontic pathology.,0.2,0.0
120,Which teeth are suspected of having caries and require clinical re-evaluation?,#25.,"Teeth with suspected caries for clinical re-evaluation:
- #16 (upper-right first molar): radiolucent area under a restoration suspicious for recurrent caries.
- #46 (lower-right first molar): radiolucency at occlusal/proximal surface and large restoration — needs clinical check (see Q2).
- Possible secondary caries suspected at the large restorations on #26 and #36 (radiopaque restorations with adjacent radiolucent halo). Note: periapical/occlusal caries on anterior teeth not evident; bite/PA radiographs recommended to confirm.",0.3,0.0
140,Which teeth are suspected to be erupted?,"#18, #28, #38, #48 are suspected to be erupted.","Teeth suspected to be erupted: All third molars (teeth #18, #28, #38, #48) are erupted or at least partially erupted and visible. In fact all teeth from #11–#48 are present and appear erupted into the arch.",0.9,0.9
150,Which tooth needs endodontic evaluation?,Tooth #11 requires endodontic evaluation due to the periapical lesion.,Tooth #16 (upper right first molar) requires endodontic evaluation — there is a widened periapical radiolucency at the distal root apex region consistent with possible apical pathology.,0.0,0.0
152,Which tooth has evidence of a periapical granuloma?,Tooth #11 shows evidence of a periapical granuloma.,The periapical radiolucency most consistent with a periapical granuloma is at tooth #16 (at the distal/apical root region).,0.0,0.0
158,Which tooth has a periapical lesion?,Tooth #45 has a periapical lesion (likely abscess).,Periapical lesion: A well-defined periapical radiolucency is present at the apex of tooth #36 (lower-left first molar). (No definite periapical radiolucency is seen at #45.),0.9,0.0
182,Which teeth have crown restorations?,"Teeth #12,13,14,17,21,22,23,24,31,32,33,34,41,42,43,44,46 have crowns.","Teeth with crown restorations: Radiopaque full-coverage crowns visible on upper right first molar region (tooth 16?) with implant-supported crown in upper-left posterior (around FDI 26 area?) and a large crown on the lower-left first molar region is present as an implant crown at 36 region. More clearly: a crown on the upper-right posterior associated with an implant (around 16 region), and a crown on the lower-left implant (36). Additional individual teeth in the lower anterior and posterior have metal-ceramic or full-coverage restorations (several premolars and molars visible with crowns/restorations). (Note: exact FDI numbering of each crown is limited by image projection.)",0.3,0.3
192,Which teeth show signs of fillings?,"Teeth #17, #21, #26, #46, #22, #38, #48 show signs of fillings.",Teeth with radiopaque restorative material (fillings/crowns): visible restorations in the lower left first molar region (tooth #36 shows a large occlusal/restorative radiopacity) and lower right first molar region (tooth #46 shows a radiopaque restoration). Possibly smaller restorations in some other posterior teeth but the most obvious are #36 and #46.,0.2,0.6
202,Which teeth show signs of fillings?,Teeth #36 and #45 show signs of fillings.,Restorative radiopaque fillings are visible in: tooth 46 (lower-right first molar) — a medium-sized occlusal/mesial restoration; tooth 36 (lower-left first molar) has a radiopaque restoration; and there is a small radiopaque restorative material in tooth 45 (lower-right second premolar) or on the distal of 45/mesial of 46 region. No crowns or root‑canal fillings are present.,0.6,0.9
222,Which teeth are impacted as seen on the panoramic radiograph? Specify their positions.,"[
{""box_2d"": [1763, 351, 1876, 479], ""tooth_id"": ""28"", ""is_impacted"": ""true""}
]","Impacted teeth: the right maxillary third molar (#18) and left maxillary third molar (#28) are erupted high/impacted within the tuberosity region (partially impacted/unerupted). Additionally, the lower third molars (#38 and #48) appear absent or fully erupted? — on this OPG both lower third molar positions show partially erupted/unerupted roots with mesioangular impaction of #38 (lower-left 38 is present and impacted horizontally/mesioangular) and lower-right #48 appears absent or not developed. (Primary impacted teeth of concern: #28 and #38.)",0.3,0.7
231,Which teeth show signs of caries?,"#35, #28, #37, #47.","Teeth with radiographic caries (probable):
- Approximal/occlusal radiolucencies are most evident at the upper and lower posterior teeth bilaterally; specifically I see radiolucent carious lesions on the occlusal/approximal surfaces of 16/17 and 26/27 region molars and on lower molars 36/37 and 46. The largest periapical change is at 47 (periapical infection) which implies prior pulpal involvement; 47 also shows carious/decay involvement of the crown. Note: small proximal caries may be hidden on OPG — bitewings would better define extent.",0.0,0.6
241,Which tooth needs urgent evaluation?,#36,Urgent evaluation: Lower-right first molar region (tooth #46) requires urgent clinical evaluation because of a large radiopaque crown/restoration with periapical radiolucency and possible root pathology.,0.0,0.0
242,Which teeth are suspicious for caries and which has a periapical abscess?,Caries: #15; Periapical abscess: #36,"Teeth suspicious for caries and periapical abscess:
- Suspicious for caries: Multiple approximal radiolucencies are best seen on bitewings, but on this OPG there are probable carious radiolucencies at upper and lower posterior teeth — notably lower right first molar #46 shows recurrent/secondary caries beneath the large restoration; possible occlusal/proximal decay at upper left and right third molar crowns also suspected.
- Periapical abscess: Radiolucent periapical radiolucency is present at the apex of tooth #46 consistent with a chronic periapical lesion/abscess.",0.2,0.2
283,Which teeth show signs of crowns?,"Teeth #11,12,13,22,23,31,32,33,36,41,42,43 show signs of crowns.","Teeth with radiographic crowns (metal or porcelain-fused-to-metal/metal-ceramic appearance) on this OPG: #34 (lower-left first premolar) shows a full-coverage crown, and #46 (lower-right first molar) has a large full-coverage crown (radiopaque restoration). In the upper arch, three adjacent anterior teeth (approx. #13–#11 region) appear to bear full-coverage restorations (radiopaque cores/crowns) — specifically the lower anterior central/lateral region also shows multiple crowns on mandibular anterior teeth (#41–#31 region). Overall obvious full-coverage restorations are on lower right first molar (#46), lower left first premolar (#34) and several lower anterior teeth.",0.6,0.3
291,Which teeth show signs of periapical granuloma?,Teeth #46 and #48 show signs of periapical granuloma.,"Teeth showing signs of periapical granuloma:
- #46 (lower-right first molar) — large periapical radiolucency consistent with periapical granuloma / chronic apical periodontitis.
- Possible small periapical radiolucency at the apex of the lower-left posterior tooth under the bridge (36/37 region) is less clear on the panoramic and may represent artefact; primary demonstrable lesion is at #46.",0.9,0.7
294,Which teeth have signs of root canal treatment?,"Teeth #36, #42, and #35 show signs of root canal treatment.",Teeth with root-canal treatment: tooth 36 (lower-left first molar) shows a radiopaque root‑filling material in at least one canal; tooth 46 (lower‑right first molar) also shows radiopaque root‑filling material in its roots.,0.0,0.5
302,Which teeth are suspected for caries and require clinical re-evaluation?,"#36, #37.",Teeth suspected for caries and requiring clinical re‑evaluation: the visible lower molars on the right/left posterior segments (notably the distal of #37 adjacent to #38 and the occlusal surfaces of the lower left molars #36/#37 region) show radiographic changes suspicious for caries and should be examined clinically with intraoral radiographs. (Also examine the crowns/roots of the remaining lower anterior teeth clinically for root/cervical lesions as needed.),0.4,0.7
314,Which teeth have signs of root canal treatment with restorations?,Teeth #23 and #33 have signs of root canal treatment with restorations.,"Tooth-level: there is a radiopaque root filling extending into the root of lower-right canine region (tooth 43) and possibly a root canal filling in the lower-right first molar region (46) — more clearly, one tooth in the anterior mandible (around 43) shows endodontic obturation with a coronal restoration/ post. Several crowned teeth on the lower arch have coronal restorations; the bridge on the upper anterior also overlies endodontically treated abutment(s). (Overall: endodontic treatment visible in the lower right anterior/ canine area and possibly an upper anterior abutment.)",0.0,0.0
325,Which teeth show signs of dental implants?,"Teeth #35, #36, and #37 show signs of dental implants.",Implants are present replacing the lower-right posterior teeth in the region of 46/47 (three adjacent implants supporting a multi-unit prosthesis on the right mandible).,0.0,0.0
337,Which tooth is suspected to have a periapical abscess?,Tooth #36 is suspected to have a periapical abscess.,Tooth 46 (lower-right first molar) — there is a well-defined periapical radiolucency at the distal root apex region consistent with a periapical abscess.,0.9,0.0
344,Which teeth are suspicious for caries?,#46 is suspicious for caries.,"Teeth suspicious for caries (radiolucent approximal or occlusal defects on the OPG): upper right premolar region adjacent to restorative margins (teeth #14–15 area shows secondary caries risk), lower left molar region (#36/37 area) shows radiolucent enamel/dentin changes suspicious for caries on approximal surfaces, and lower anterior premolars/molars (approximal areas around #34–35) show possible caries. (Note: OPG underestimates small lesions; bitewing/periapical films are recommended to confirm.)",0.2,0.0
349,Which teeth show signs of caries and require clinical re-evaluation?,None tooth show signs of caries and require clinical re-evaluation.,"Radiographic evidence suggestive of occlusal/proximal caries is subtle but present:
- Possible interproximal radiolucency on the mesial of #36 (lower-left first molar) and distal of #35 region — requires bitewings/clinical exam.
- Small radiolucent shadow at the distal aspect of #26/#27 region (upper-left molars) is equivocal and needs clinical re-evaluation.
- No large obvious proximal caries in the anterior teeth on this view. Overall any suspected sites should be confirmed with periapical/bitewing radiographs and clinical inspection.",0.0,0.0
384,Which tooth has a periapical abscess and what is its clinical implication?,"Tooth #36 has a periapical abscess, requiring urgent endodontic evaluation and treatment.","Tooth 46 (lower‑right first molar) shows a well‑defined periapical radiolucency at the distal root apex consistent with a periapical abscess. Clinical implication: chronic apical infection requiring endodontic treatment (root canal) or extraction depending on restorability, plus possible antibiotics/urgent care if symptomatic or spreading.",0.9,0.0
385,Which tooth is suspicious for a periapical abscess and what does it necessitate?,"Tooth #47 is suspicious for a periapical abscess due to root fracture, necessitating further diagnostic workup and possible surgical intervention.","Tooth 36 (lower‑left first molar) is suspicious for a periapical lesion — there is slight widening of the apical periodontal ligament space and a faint periapical radiolucency at the mesial/distal root apices. This necessitates targeted clinical pulp testing (cold/electric), periapical radiographs or CBCT for confirmation and, if confirmed, root canal therapy or extraction depending on vitality/restorability.",0.2,0.0
408,Which teeth are identified as wisdom teeth and what are their statuses?,#28 is erupted and #48 is impacted.,"Wisdom teeth identified and status:
- #18 (upper-right third molar): absent (not seen).
- #28 (upper-left third molar): absent (not seen).
- #38 (lower-left third molar): erupted/partially erupted and mesioangular/vertical? — not present in the lower-left region on this OPG (no obvious #38 crown visible).
- #48 (lower-right third molar): impacted, horizontally/mesioangularly oriented with crown partially erupted and contacting the distal of #47/#46 area.

(Note: the tooth-detection tool reported a #48 present; radiographically the lower-right third molar is impacted and the left lower third molar is not clearly present.)",0.6,0.6
414,Which teeth have root canal treatments?,"#31, #11, #14, #16, #26, #36, #45.",Teeth with root canal treatments: 13 (upper-right canine) and 23 (upper-left canine) show radiopaque root-filling material consistent with endodontic treatment.,0.0,0.0
417,Which teeth have implants?,"#37, #47.",Teeth with implants: Implants are present replacing tooth 36 (lower-left first molar) and tooth 46 (lower-right first molar) as indicated in the mandibular posterior regions.,0.9,0.0
443,Which teeth show signs of caries and any additional findings?,"Teeth #47, #37, and #27 show signs of caries. Additionally, #37 has a suspected periapical granuloma.","Teeth with signs of caries and additional findings:
- Approximal radiolucent lesions suspicious for caries are visible on: upper right first molar (#16) and upper left first molar (#26) (occlusal/proximal radiolucencies). Also small radiolucent area on lower right second molar (#47) crown surface. These are panoramic impressions — bitewings/clinical exam needed to confirm extent. 
- No obvious large periapical radiolucencies associated with root apices. 
- Several teeth show restorations or radiopaque filling material likely on upper first molars and some premolars (appearance limited on OPG). 
- Generalized mild-to-moderate horizontal alveolar bone loss (see Q4) that suggests chronic periodontal bone loss, more pronounced on the posterior sextants.",0.0,0.2
449,Which teeth are affected by caries and a periapical granuloma?,"Tooth #47 has caries, and tooth #48 has a periapical granuloma.",Radiographic caries is suspected on the distal of tooth 36 (lower-left first molar) adjacent to the impacted 38 and on the occlusal/distal surfaces of 46/47 area is questionable — the clearest carious lesion is on 36. A well-defined periapical radiolucency consistent with a periapical granuloma is seen at the apical region of tooth 36.,0.0,0.0
457,Which teeth show signs of caries?,"#26, and #36 show signs of caries.","Radiographic caries is suspected on the following teeth: upper right first molar #16 (proximal radiolucency on distal aspect), upper left first molar #26 (possible occlusal/proximal radiolucency), and lower right first molar #46 (small occlusal/proximal radiolucency). Note: caries detection on a panoramic is limited; these are suspected lesions that warrant periapical/bitewing follow-up.",0.4,0.6
466,Which teeth have crown restorations?,"#36, #37, #45, #46, #47 have crown restorations.","Teeth with crown restorations:
- 36 (lower-left first molar) — large metal-ceramic or metal crown.
- 46 (lower-right first molar) — large metal-ceramic or metal crown.
(These are the two obvious full-coverage radiopaque crowns on the mandibular first molars.)",0.4,0.4
467,Which teeth have fillings?,#38 has fillings.,"Teeth with (direct) fillings:
- 35 (lower-left second premolar) — small occlusal/restorative density (probable composite/amalgam).
- 45 (lower-right second premolar) — small occlusal/restorative density.
- 47 (lower-right second molar) — occlusal/occluso-distal restoration on the erupted portion of 47 (appears as a large restoration but not a full crown).
(There are also small radiopaque restorative materials visible on some posterior teeth adjacent to the crowned teeth; the largest restored units are the crowns listed above.)",0.0,0.0
522,Which teeth need monitoring for suspicious caries?,#37 and #47,Teeth that warrant monitoring for suspicious caries on this OPG: the proximal surfaces of the maxillary and mandibular first and second molars adjacent to occlusal restorations (especially lower right and left first molars #46 and #36) show radiographic changes that could represent proximal caries or restoration margins — these should be checked clinically/with bitewings. Also monitor the distal of #27/#28 region and mesial of lower third molars where contact areas and overlapping make proximal decay possible. Overall bitewing radiographs are recommended for accurate caries assessment.,0.9,0.2
531,Which teeth are suspicious for fillings?,#38 is suspicious for fillings.,"Teeth suspicious for fillings: 36 (lower-left first molar), 46 (lower-right first molar) and the two lower central incisors (31/41) appear to have radiopaque restorations consistent with fillings/crowns; additionally 47 (lower-right second molar) shows a large occlusal/approximal restoration.",0.0,0.0
534,Which teeth have crown restorations?,"#46, #21, and #11 have crown restorations.",Teeth with crown restorations: The two lower central incisors (31 and 41) have full-coverage crowns (radiopaque uniform crown shapes). 36 and 46 show large metallic/indirect restorations (likely onlays/crowns) as well.,0.7,0.4
544,Which teeth are suspicious for caries?,"The teeth suspicious for caries are #18, #47, and #26.","Teeth suspicious for caries: Probable proximal/occlusal caries on 16 (upper-right first molar) and 26 (upper-left first molar) adjacent to existing restorations, and on 36/46 region there are large restorations but no clear recurrent caries; a small radiolucency is suspected on the occlusal of 47 (lower-right second molar) and at the distal of 35/36 area (lower-left second/first premolar–molar region) may show early proximal caries. Note: caries detection is limited on OPG—bitewings recommended for confirmation.",0.6,0.7
550,Which teeth have crowns?,"Teeth #11,12, 13,14, 15, 21, 22, 23, 24, 25, 31,32, 33, 34, 35, 36,41,42, 43, 44, 45, 46, 47, 48 have crowns.",Crowns (radiopaque full-coverage restorations) are present on the lower-right posterior teeth seen as a connected prosthesis — specifically the lower-right first and second molar region (FDI #46 and #47 appear to have full-coverage crowns and form a multi-unit restoration). There are also radiopaque crown restorations on the lower-left first molar area (FDI #36 shows a crown). Several large metallic restorations are present on posterior molars.,0.6,0.6
