index,question,gt,answer
9,Which historical treatments can be detected in the panoramic image?,"[
{""box_2d"": [1531, 698, 1649, 769], ""tooth_id"": ""36"", ""label"": ""Crown""},
{""box_2d"": [1619, 755, 1676, 846], ""tooth_id"": ""36"", ""label"": ""Root canal treatment""},
{""box_2d"": [1771, 628, 1801, 657], ""tooth_id"": ""38"", ""label"": ""Filling""}
]","Based on the panoramic radiograph (orthopantomogram), the following historical dental treatments and findings can be detected:

1. **Endodontic Treatment (Root Canal Therapy):**
   *"
15,Output the positions of wisdom tooth in the panoramic X-ray image.,"[
{""box_2d"": [1741, 569, 1871, 768], ""tooth_id"": ""38"", ""is_impacted"": “false""},
{""box_2d"": [514, 577, 716, 754], ""tooth_id"": ""48"", ""is_impacted"": ""true""},
{""box_2d"": [673, 311, 819, 517], ""tooth_id"": ""18"", ""is_impacted"": ""false""},
{""box_2d"": [1663, 334, 1769, 530], ""tooth_id"": ""28"", ""is_impacted"": ""false""}
]","...]` there is a molar. Let's look at the crown: it's at `[310, 280, 400, 330"
33,Identify the mandibular canal in the X-ray image.,"[
{""box_2d"": [1524, 423, 2129, 1050], ""label"": ""Mandibular canal""},
{""box_2d"": [329, 391, 740, 979], ""label"": ""Mandibular canal""}
]","Based on the provided panoramic dental X-ray (orthopantomogram), here is a detailed guide to identifying the **mandibular canal** (also known as the inferior alveolar canal):

### 1"
39,What is the overall structural integrity of tooth #38 as seen on the panoramic radiograph?,"[
{""Teeth position"": {""point_2d"": [1814, 729]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": “false""}
]","Based on the panoramic radiograph, **tooth #38** (the mandibular left third molar, located on the far right of the image in the lower jaw) shows the following characteristics regarding its structural"
45,Please provide a full description of the condition of tooth #18.,"[
{""Teeth position"": {""point_2d"": [618, 426]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": “False""}
]","Based on the provided panoramic radiograph (OPG), here is a detailed description of the condition of **tooth #18** (the mandibular left second molar, located on the lower right side of the"
75,Identify the historical treatments in the X-ray image.,"[
{""box_2d"": [1006, 705, 1088, 807], ""tooth_id"": ""44"", ""label"": ""Crown""},
{""box_2d"": [1029, 806, 1044, 875], ""tooth_id"": ""44"", ""label"": ""Root canal treatment""},
{""box_2d"": [796, 693, 934, 775], ""tooth_id"": ""46"", ""label"": ""Crown""},
{""box_2d"": [1558, 709, 1679, 791], ""tooth_id"": ""36"", ""label"": ""Crown""},
{""box_2d"": [1652, 786, 1688, 849], ""tooth_id"": ""36"", ""label"": ""Root canal treatment""},
{""box_2d"": [1415, 712, 1491, 812], ""tooth_id"": ""34"", ""label"": ""Crown""},
{""box_2d"": [1481, 710, 1565, 829], ""tooth_id"": ""35"", ""label"": ""Crown""},
{""box_2d"": [1538, 833, 1551, 869], ""tooth_id"": ""35"", ""label"": ""Root canal treatment""},
{""box_2d"": [1595, 568, 1734, 671], ""tooth_id"": ""26"", ""label"": ""Crown""},
{""box_2d"": [1661, 495, 1676, 571], ""tooth_id"": ""26"", ""label"": ""Root canal treatment""},
{""box_2d"": [1210, 712, 1262, 805], ""tooth_id"": ""41"", ""label"": ""Crown""},
{""box_2d"": [1084, 714, 1157, 803], ""tooth_id"": ""43"", ""label"": ""Crown""},
{""box_2d"": [1107, 805, 1121, 895], ""tooth_id"": ""43"", ""label"": ""Root canal treatment""},
{""box_2d"": [1532, 584, 1618, 671], ""tooth_id"": ""25"", ""label"": ""Crown""},
{""box_2d"": [1563, 455, 1600, 588], ""tooth_id"": ""25"", ""label"": ""Root canal treatment""},
{""box_2d"": [927, 522, 941, 583], ""tooth_id"": ""15"", ""label"": ""Root canal treatment""},
{""box_2d"": [719, 583, 798, 676], ""tooth_id"": ""17"", ""label"": ""Crown""},
{""box_2d"": [692, 483, 727, 585], ""tooth_id"": ""17"", ""label"": ""Root canal treatment""},
{""box_2d"": [1356, 716, 1425, 826], ""tooth_id"": ""33"", ""label"": ""Crown""},
{""box_2d"": [1392, 828, 1407, 907], ""tooth_id"": ""33"", ""label"": ""Root canal treatment""},
{""box_2d"": [1455, 586, 1549, 674], ""tooth_id"": ""24"", ""label"": ""Crown""},
{""box_2d"": [793, 556, 910, 665], ""tooth_id"": ""16"", ""label"": ""Crown""},
{""box_2d"": [1666, 683, 1794, 760], ""tooth_id"": ""37"", ""label"": ""Crown""},
{""box_2d"": [1753, 744, 1840, 817], ""tooth_id"": ""37"", ""label"": ""Root canal treatment""},
{""box_2d"": [1056, 418, 1105, 568], ""tooth_id"": ""13"", ""label"": ""Implant""},
{""box_2d"": [1303, 716, 1358, 827], ""tooth_id"": ""31"", ""label"": ""Crown""},
{""box_2d"": [1149, 715, 1212, 806], ""tooth_id"": ""42"", ""label"": ""Crown""},
{""box_2d"": [1718, 571, 1845, 645], ""tooth_id"": ""27"", ""label"": ""Crown""},
{""box_2d"": [1766, 474, 1784, 571], ""tooth_id"": ""27"", ""label"": ""Root canal treatment""}
]","Based on the panoramic radiograph (orthopantomogram), several historical dental treatments can be identified across both the upper (maxillary) and lower (mandibular) arches:

### 1."
93,Identify areas showing the maxillary sinus in the panoramic radiograph.,"[
{""box_2d"": [1372, 33, 1806, 421], ""label"": ""Maxillary sinus""},
{""box_2d"": [657, 42, 1013, 401], ""label"": ""Maxillary sinus""}
]","Based on the provided panoramic radiograph (orthopantomogram), the **maxillary sinuses** (right and left) can be identified as follows:

### 1. Location and Appearance
The maxillary sinuses are large, bilateral, air-filled cavities located in the maxilla (upper jaw). On a radiograph, they appear as **large, dark (radiolucent) areas** because air does not absorb X-rays. They are outlined by a thin, sharp, white (radiopaque) cortical bone line.

* **Right Maxillary Sinus (located on the left side of the image):** 
  * This is the large, dark cavity situated directly above the roots of the upper right premolars and molars. 
  * Its floor (the bottom boundary) is visible as a thin, curved white line running just superior to the root apices of these posterior teeth.

* **Left Maxillary Sinus (located on the right side of the image):** 
  * This is the corresponding large, dark cavity situated above the roots of the upper left premolars and molars.
  * Like the right side, its floor is demarcated by a"
136,Does the panoramic radiograph reveal any specific tooth involvement trends related to crown?,"[
{""tooth_id"": ""24"", ""box_2d"": [1469, 619, 1556, 688]},
{""tooth_id"": ""36"", ""box_2d"": [1522, 733, 1644, 810]},
{""tooth_id"": ""26"", ""box_2d"": [1600, 592, 1704, 673]},
{""tooth_id"": ""25"", ""box_2d"": [1552, 619, 1616, 688]},
{""tooth_id"": ""16"", ""box_2d"": [802, 613, 906, 673]},
{""tooth_id"": ""15"", ""box_2d"": [901, 620, 978, 690]},
{""tooth_id"": ""46"", ""box_2d"": [868, 746, 995, 806]},
{""tooth_id"": ""47"", ""box_2d"": [764, 714, 883, 778]}
]","Based on the provided panoramic radiograph, there is a clear trend of **posterior tooth involvement** (molars and premolars) requiring crown restorations, often associated with endodontic (root canal)"
148,Output the positions of mandibular canal in the panoramic X-ray image.,"[
{""box_2d"": [1561, 516, 2146, 1055], ""label"": ""Mandibular canal""},
{""box_2d"": [389, 465, 874, 1016], ""label"": ""Mandibular canal""}
]","Based on the panoramic X-ray image, the positions of the mandibular canals (inferior alveolar canals) on both sides of the jaw are located within the following coordinates:

* **Right Mandibular Canal (left side of the image):** `[5"
160,Please detect the mandibular canal in the panoramic image.,"[
{""box_2d"": [1577, 656, 2099, 1060], ""label"": ""Mandibular canal""},
{""box_2d"": [370, 691, 924, 1090], ""label"": ""Mandibular canal""}
]","` format.
    *   Right: `[450, 90, 750, 410]`
    *   Left: `[450"
183,Please detect the teeth in the panoramic image.,"[
{""point_2d"": [1035, 848], ""tooth_id"": ""44""},
{""point_2d"": [1156, 824], ""tooth_id"": ""42""},
{""point_2d"": [1522, 827], ""tooth_id"": ""35""},
{""point_2d"": [958, 544], ""tooth_id"": ""14""},
{""point_2d"": [624, 476], ""tooth_id"": ""18""},
{""point_2d"": [796, 531], ""tooth_id"": ""16""},
{""point_2d"": [948, 840], ""tooth_id"": ""45""},
{""point_2d"": [885, 546], ""tooth_id"": ""15""},
{""point_2d"": [1098, 541], ""tooth_id"": ""12""},
{""point_2d"": [1430, 832], ""tooth_id"": ""34""},
{""point_2d"": [1206, 807], ""tooth_id"": ""41""},
{""point_2d"": [1372, 838], ""tooth_id"": ""33""},
{""point_2d"": [1168, 536], ""tooth_id"": ""11""},
{""point_2d"": [1024, 526], ""tooth_id"": ""13""},
{""point_2d"": [1092, 849], ""tooth_id"": ""43""},
{""point_2d"": [628, 706], ""tooth_id"": ""48""},
{""point_2d"": [1262, 802], ""tooth_id"": ""31""},
{""point_2d"": [1314, 815], ""tooth_id"": ""32""},
{""point_2d"": [703, 522], ""tooth_id"": ""17""},
{""point_2d"": [875, 816], ""tooth_id"": ""46""},
{""point_2d"": [1326, 520], ""tooth_id"": ""22""},
{""point_2d"": [724, 765], ""tooth_id"": ""47""},
{""point_2d"": [1402, 499], ""tooth_id"": ""23""},
{""point_2d"": [1480, 508], ""tooth_id"": ""24""},
{""point_2d"": [1840, 679], ""tooth_id"": ""38""},
{""point_2d"": [1248, 528], ""tooth_id"": ""21""},
{""point_2d"": [1698, 521], ""tooth_id"": ""26""},
{""point_2d"": [1826, 445], ""tooth_id"": ""28""},
{""point_2d"": [1559, 519], ""tooth_id"": ""25""}
]","```json
[
  {""box_2d"": [381, 231, 471, 274], ""label"": ""tooth""},"
199,What findings can be observed in the panoramic radiograph regarding tooth #31?,"[
{""Teeth position"": {""point_2d"": [1278, 750]}},
{""Crown"": {""box_2d"": [1249, 650, 1306, 769]}}
]","Based on the provided panoramic radiograph, we can determine the findings for **tooth #31** (the mandibular right second molar) by orienting the image:

* **Orientation:** The"
262,Output the positions of maxillary sinus in the panoramic X-ray image.,"[
{""box_2d"": [630, 20, 1024, 405], ""label"": ""Maxillary sinus""},
{""box_2d"": [1434, 25, 1816, 383], ""label"": ""Maxillary sinus""}
]","```json
[
  {""box_2d"": [190, 120, 320, 310], ""label"": ""maxillary sinus""},
  {""box_2d"": [190, 550, 320, 760], ""label"": ""maxillary sinus""}
]
```"
274,Detect wisdom tooth in the panoramic image.,"[
{""box_2d"": [1690, 705, 1829, 899], ""tooth_id"": ""38"", ""is_impacted"": ""false""},
{""box_2d"": [612, 657, 773, 850], ""tooth_id"": ""48"", ""is_impacted"": ""false""},
{""box_2d"": [681, 445, 774, 641], ""tooth_id"": ""18"", ""is_impacted"": ""false""},
{""box_2d"": [1686, 429, 1806, 672], ""tooth_id"": ""28"", ""is_impacted"": ""false""}
]","Based on the panoramic radiograph (OPG), we can identify the presence and position of the wisdom teeth (third molars) by counting the teeth from the midline toward the back in each quadrant"
292,Describe the overall status of tooth #38 based on the panoramic radiograph findings.,"[
{""Teeth position"": {""point_2d"": [1817, 699]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": ""false""}
]","Based on the panoramic radiograph, **tooth #38** (the mandibular left third molar, located on the lower right side of the image) exhibits the following status:

* **Impacted Position"
322,Does tooth #25 exhibit any signs of pathology or structural compromise on the panoramic radiograph?,"[
{""Teeth position"": {""point_2d"": [1544, 525]}},
{""Crown"": {""box_2d"": [1496, 547, 1589, 661]}}
]","Based on the panoramic radiograph, **tooth #25** (the mandibular right central incisor, located just to the left of the midline on the image) exhibits the following features:

* **"
328,What radiographic features are visible in tooth #35 on the panoramic X-ray?,"[
{""Teeth position"": {""point_2d"": [1472, 838]}},
{""Crown"": {""box_2d"": [1423, 735, 1519, 830]}},
{""Implant"": {""box_2d"": [1460, 836, 1509, 965]}}
]","35 represents the mandibular left second premolar.
2. **Status**: The natural tooth #35 is missing (edentulous space).
3. **Replacement**: It has been"
334,Identify the historical treatments in the X-ray image.,"[
{""box_2d"": [1503, 694, 1574, 803], ""tooth_id"": ""35"", ""label"": ""Crown""},
{""box_2d"": [1273, 592, 1303, 649], ""tooth_id"": ""21"", ""label"": ""Filling""},
{""box_2d"": [1299, 419, 1354, 589], ""tooth_id"": ""21"", ""label"": ""Root canal treatment""},
{""box_2d"": [1567, 692, 1672, 800], ""tooth_id"": ""36"", ""label"": ""Crown""},
{""box_2d"": [1657, 641, 1769, 746], ""tooth_id"": ""37"", ""label"": ""Crown""},
]","Based on the panoramic radiograph (orthopantomogram), several historical dental treatments can be identified:

1. **Fixed Dental Bridge (Fixed Partial Denture):** 
   *"
376,Which areas show the teeth in the panoramic image?,"[
{""point_2d"": [1664, 754], ""tooth_id"": ""35""},
{""point_2d"": [1293, 752], ""tooth_id"": ""41""},
{""point_2d"": [1506, 786], ""tooth_id"": ""33""},
{""point_2d"": [1414, 757], ""tooth_id"": ""32""},
{""point_2d"": [1521, 468], ""tooth_id"": ""23""},
{""point_2d"": [981, 796], ""tooth_id"": ""45""},
{""point_2d"": [1889, 486], ""tooth_id"": ""28""},
{""point_2d"": [664, 518], ""tooth_id"": ""17""},
{""point_2d"": [1100, 772], ""tooth_id"": ""43""}
]","Based on the panoramic radiograph, the remaining teeth are located in the following areas:

* **Upper Right Tooth (Image Left):** `[308, 241, 4"
424,What is the overall structural integrity of tooth #46 as seen on the panoramic radiograph?,"[
{""Teeth position"": {""point_2d"": [796, 806]}},
{""Filling"": {""box_2d"": [776, 704, 872, 757]}}
]","Based on the panoramic radiograph, **tooth #46** (the mandibular right first molar, located on the lower-left side of the image) demonstrates the following characteristics regarding its structural integrity:"
435,Please provide a full description of the condition of tooth #38.,"[
{""Teeth position"": {""point_2d"": [1798, 676]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": ""false""}
]","Based on the panoramic radiograph, here is a detailed description of the condition of **tooth #38** (the mandibular left third molar, located on the lower right side of the image):"
446,What is the overall structural integrity of tooth #28 as seen on the panoramic radiograph?,"[
{""Teeth position"": {""point_2d"": [1814, 464]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": ""false""}
]","Based on the panoramic radiograph, **tooth #28** (the mandibular right first premolar, located on the lower left side of the image) demonstrates **excellent overall structural integrity** with no radi"
452,Identify areas showing the dental caries in the panoramic radiograph.,"[
{""box_2d"": [676, 616, 753, 712], ""tooth_id"": ""47"", ""label"": ""Caries""}
]","Based on the provided panoramic radiograph, there is a prominent and severe area of dental caries (tooth decay) visible:

### **Primary Area of Dental Caries:**
* **Lower Right"
463,Which teeth exhibit signs of pathology on the panoramic radiograph? Summarize the key findings.,"[
{""box_2d"": [691, 628, 717, 684], ""tooth_id"": ""47"", ""label"": ""Caries""},
{""box_2d"": [626, 599, 692, 683], ""tooth_id"": ""48"", ""label"": ""Caries""}
]{""box_2d"": [496, 548, 693, 696], ""tooth_id"": ""48"", ""is_impacted"": ""true""}
]","Based on the panoramic radiograph (orthopantomogram), the primary pathological findings are associated with the **mandibular third molars (wisdom teeth)** and the adjacent second molars. 

Here is"
480,Please detect the dental caries in the panoramic image.,"[
{""box_2d"": [1643, 664, 1667, 710], ""tooth_id"": ""36"", ""label"": ""Caries""}
]","or is it 47?):
            - There is a large radiolucency on the distal of tooth 46? No, the tooth distal to 46 is 47"
501,Which areas show the periapical lesions in the panoramic image?,"[
{""box_2d"": [1843, 818, 1905, 884], ""tooth_id"": ""37"", ""label"": ""Periapical lesions (Abscess)""}
]","1) - erupted/impacted? Erupted, angled.
        - 17, 16, 15, 14, 13, 1"
541,Which mandibular canal is/are visible in the panoramic dental image?,"[
{""box_2d"": [1516, 611, 2146, 1093], ""label"": ""Mandibular canal""},
{""box_2d"": [358, 658, 991, 1108], ""label"": ""Mandibular canal""}
]","Based on the provided panoramic dental radiograph (orthopantomogram), **both the right and left mandibular canals are visible**, with a notable anatomical variation present on the right side:

### 1. Right Mandibular Canal (Patient's Right / Left side of the image)
* **Anatomical Variation:** There is a clear **bifid mandibular canal** (double mandibular canal) visible on the right side. 
* **Appearance:** You can observe two distinct, parallel radiolucent pathways outlined"
547,What are the characteristic features of the filling visible in multiple teeth on the panoramic radiograph?,"[
{""tooth_id"": ""16"", ""box_2d"": [845, 511, 916, 583]},
{""tooth_id"": ""46"", ""box_2d"": [825, 620, 884, 648]},
{""tooth_id"": ""37"", ""box_2d"": [1665, 578, 1745, 628]},
{""tooth_id"": ""27"", ""box_2d"": [1684, 511, 1720, 546]}
]","Based on the panoramic radiograph, the restorations (fillings and crowns) visible on multiple posterior teeth exhibit classic features of **metallic dental restorations** (such as dental amalgam and metal crowns)."
553,What radiographic features are visible in tooth #48 on the panoramic X-ray?,"[
{""Teeth position"": {""point_2d"": [596, 616]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": ""false""},
{""Crown"": {""box_2d"": [592, 554, 682, 665]}}
]","8 in the normal position, or is it impacted/missing?
                            *   Let's look at the bone distal to the last crown on the lower right (left side of image"
576,Does tooth #48 exhibit any signs of pathology or structural compromise on the panoramic radiograph?,"[
{""Teeth position"": {""point_2d"": [666, 686]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": ""false""}
]","Based on the panoramic radiograph, **tooth #48** (the mandibular right third molar, located at the far left of the lower arch in this image) **does not exhibit any"
